Địa phương,Năm,Vùng kinh tế,Tiền đầu tư giáo dục,Dân số trung bình (Nghìn người),Mật độ dân số (Người/km2),Chỉ số Giáo dục,Chỉ số phát triển con người,Chỉ số sức khỏe,Chỉ số thu nhập,Điểm thi đại học trung bình của địa phương
Lâm Đồng,2020,Vùng Tây Nguyên,0.743154,1309.79,134.0,0.622,0.698,0.82,0.667,6.7861583236321295
TP. Hồ Chí Minh,2018,Vùng Đông Nam Bộ,4.245046,8843.2,4289.9,0.718,0.786,0.871,0.777,6.1029401346085725
TP. Hồ Chí Minh,2019,Vùng Đông Nam Bộ,3.848126,9038.6,4385.0,0.737,0.798,0.871,0.791,6.367907444668008
TP. Hồ Chí Minh,2020,Vùng Đông Nam Bộ,2.719803,9227.6,4404.0,0.73,0.795,0.869,0.792,7.039198524480215
Đồng Nai,2018,Vùng Đông Nam Bộ,1.3527673333333332,3055.1,521.03,0.629,0.742,0.871,0.745,5.427394247038917
Đồng Nai,2019,Vùng Đông Nam Bộ,1.522966,3113.7,531.0,0.637,0.749,0.872,0.755,6.126914414414414
Đồng Nai,2020,Vùng Đông Nam Bộ,1.189047,3177.4,542.0,0.645,0.753,0.866,0.763,6.398641831587117
Bà Rịa - Vũng Tàu,2018,Vùng Đông Nam Bộ,1.4431593333333332,1138.3,574.61,0.624,0.789,0.868,0.906,5.554105211406096
Bà Rịa - Vũng Tàu,2019,Vùng Đông Nam Bộ,1.4431593333333332,1152.2,582.0,0.653,0.799,0.868,0.901,6.472946859903382
Bà Rịa - Vũng Tàu,2020,Vùng Đông Nam Bộ,1.685634,1167.94,589.0,0.649,0.793,0.869,0.883,7.202553191489361
Bình Dương,2018,Vùng Đông Nam Bộ,1.912319,2345.2,870.33,0.582,0.733,0.862,0.784,5.743216666666667
Bình Dương,2019,Vùng Đông Nam Bộ,2.223083,2456.3,912.0,0.604,0.74,0.842,0.796,6.249411500449236
Bình Dương,2020,Vùng Đông Nam Bộ,3.103078,2580.55,958.0,0.592,0.736,0.842,0.8,6.954333753678016
Tây Ninh,2018,Vùng Đông Nam Bộ,0.92049,1160.7,287.21,0.529,0.668,0.842,0.669,5.20525
Tây Ninh,2019,Vùng Đông Nam Bộ,0.54634,1171.7,290.0,0.547,0.681,0.843,0.686,5.365373711340207
Tây Ninh,2020,Vùng Đông Nam Bộ,0.68767,1178.33,292.0,0.546,0.685,0.842,0.699,6.396023166023166
TP. Cần Thơ,2018,Vùng đồng bằng sông Cửu Long,0.507966492,1227.7,853.16,0.599,0.704,0.858,0.68,4.813571675302246
TP. Cần Thơ,2019,Vùng đồng bằng sông Cửu Long,0.768531,1236.0,859.0,0.64,0.724,0.86,0.69,5.382816212438854
TP. Cần Thơ,2020,Vùng đồng bằng sông Cửu Long,0.670077123,1240.73,861.0,0.627,0.719,0.861,0.69,6.2254517453798766
